lengthscale l2regularizer rmse_mean rmse_std
0.925 0.5 1.0053684 0.47003984
0.925 0.525 1.1130371 0.48892555
0.925 0.55 1.0855353 0.5556279
0.925 0.575 1.1185558 0.50825393
0.925 0.6 1.1786658 0.62256527
0.925 0.625 1.2126429 0.5503889
0.925 0.65 1.0864577 0.47656697
0.925 0.675 1.1887858 0.6370409
0.925 0.7 1.0617623 0.54469055
0.925 0.725 1.0405054 0.5660203
0.925 0.75 1.1591625 0.4807732
0.925 0.775 1.100401 0.5212889
0.925 0.8 1.1788607 0.58969235
0.925 0.825 1.2257398 0.5715382
0.925 0.85 1.0999594 0.5359478
0.925 0.875 1.1446184 0.46076953
0.925 0.9 1.1730194 0.47889903
0.925 0.925 1.1418717 0.45536244
0.925 0.95 1.2450558 0.7215657
0.925 0.975 1.1469595 0.53018194
0.925 1.0 1.1616057 0.5366738
0.95 0.025 1.0818503 0.58350444
0.95 0.05 1.2200611 0.52675444
0.95 0.075 1.1661822 0.6696329
0.95 0.1 1.0937707 0.61220574
0.95 0.125 1.1074696 0.62435603
0.95 0.15 1.0962766 0.48640463
0.95 0.175 1.0890362 0.61498815
0.95 0.2 1.1135322 0.6008693
0.95 0.225 1.1679909 0.5975623
0.95 0.25 1.0086768 0.45145854
0.95 0.275 1.1290131 0.49075866
0.95 0.3 1.1116154 0.66337794
0.95 0.325 1.0817174 0.43900427
0.95 0.35 1.0479048 0.53842247
0.95 0.375 1.2483914 0.65789235
0.95 0.4 1.0662925 0.57113343
0.95 0.425 1.1362857 0.60923564
0.95 0.45 1.010154 0.44921216
0.95 0.475 1.0845137 0.48558608
0.95 0.5 1.1193796 0.553203
0.95 0.525 1.1395702 0.4469051
0.95 0.55 1.1362062 0.5586085
0.95 0.575 1.2237098 0.6096976
0.95 0.6 1.1211221 0.5322901
0.95 0.625 1.1630818 0.49940163
0.95 0.65 1.1206405 0.52468127
0.95 0.675 1.1980627 0.50850594
0.95 0.7 1.0778835 0.6535579
0.95 0.725 1.2122291 0.5720376
0.95 0.75 1.1276882 0.598703
0.95 0.775 1.1593364 0.6477655
0.95 0.8 1.0471855 0.51375985
0.95 0.825 1.0226724 0.6128198
0.95 0.85 1.0379285 0.40649748
0.95 0.875 1.1385523 0.5640633
0.95 0.9 1.1574891 0.4909114
0.95 0.925 1.076313 0.5611041
0.95 0.95 1.1942647 0.47522008
0.95 0.975 1.1073036 0.5987569
0.95 1.0 1.1590954 0.59133583
0.975 0.025 1.1686019 0.49886566
0.975 0.05 1.0358183 0.56749123
0.975 0.075 1.1875134 0.73237294
0.975 0.1 1.1412318 0.55950683
0.975 0.125 1.1149187 0.5724016
0.975 0.15 1.0688543 0.6348114
0.975 0.175 1.0939937 0.4671735
0.975 0.2 1.1219919 0.60541993
0.975 0.225 1.0721552 0.5599145
0.975 0.25 1.2017248 0.5924612
0.975 0.275 1.1691523 0.5467016
0.975 0.3 1.1489303 0.7127243
0.975 0.325 1.0548527 0.5188519
0.975 0.35 1.2638942 0.7432455
0.975 0.375 1.1870679 0.61882865
0.975 0.4 1.1915691 0.5705721
0.975 0.425 1.0641811 0.46950373
0.975 0.45 1.1146238 0.6792268
0.975 0.475 1.2120917 0.45262268
0.975 0.5 1.1958468 0.68420684
0.975 0.525 1.2370882 0.5208988
0.975 0.55 1.1139807 0.63607615
0.975 0.575 1.1932433 0.5089817
0.975 0.6 1.0810254 0.5715115
0.975 0.625 1.1339457 0.39607164
0.975 0.65 1.1002069 0.4932002
0.975 0.675 1.1498778 0.5286584
0.975 0.7 1.1249294 0.4047137
0.975 0.725 1.1358147 0.52249116
0.975 0.75 1.0885937 0.53698355
0.975 0.775 1.0788265 0.46617597
0.975 0.8 1.1075147 0.4863007
0.975 0.825 1.1157297 0.5026266
0.975 0.85 1.0440428 0.45436952
0.975 0.875 1.2197293 0.66519314
0.975 0.9 1.1302959 0.4228748
0.975 0.925 1.1887097 0.64324594
0.975 0.95 1.162173 0.7184875
0.975 0.975 1.0971415 0.58773136
0.975 1.0 1.1892393 0.6384136
1.0 0.025 1.1406795 0.5198604
1.0 0.05 1.0359712 0.5116677
1.0 0.075 1.1646957 0.55196726
1.0 0.1 1.1503661 0.65507823
1.0 0.125 1.0985192 0.40475062
1.0 0.15 1.1712122 0.56212574
1.0 0.175 1.1958818 0.70275015
1.0 0.2 1.1628155 0.5371389
1.0 0.225 1.1714005 0.6143866
1.0 0.25 1.0918868 0.5817781
1.0 0.275 1.2134212 0.5710604
1.0 0.3 1.1367865 0.50768906
1.0 0.325 1.0585902 0.5516181
1.0 0.35 1.103636 0.48588008
1.0 0.375 1.1819689 0.5422661
1.0 0.4 1.1238098 0.5314608
1.0 0.425 1.101746 0.44682035
1.0 0.45 1.084468 0.44418377
1.0 0.475 1.1624142 0.54080737
1.0 0.5 1.153973 0.51046777
1.0 0.525 1.1418247 0.45705914
1.0 0.55 1.0992762 0.5835845
1.0 0.575 1.1111807 0.49586478
1.0 0.6 1.1510999 0.5658561
1.0 0.625 1.0543815 0.530577
1.0 0.65 1.0530506 0.5467759
1.0 0.675 1.0486246 0.47612962
1.0 0.7 1.179136 0.5701767
1.0 0.725 1.1490498 0.5775409
1.0 0.75 1.1855029 0.55804086
1.0 0.775 1.0710433 0.53945637
1.0 0.8 1.102622 0.58106834
1.0 0.825 1.1126101 0.52844703
1.0 0.85 1.1915338 0.5934361
1.0 0.875 1.2234182 0.5956492
1.0 0.9 1.0612346 0.58581114
1.0 0.925 1.089194 0.50425535
1.0 0.95 1.0827525 0.5811302
1.0 0.975 1.1084931 0.59799063
1.0 1.0 1.150863 0.56179714
